Jenis,Nama,2018,2019,2020,2021,2022,2023,2024
Kabupaten,Bogor,"348 683,62","307 860,89","298 974,65","285 154,00","299 893,80","283 266,58","299 675,82"
Kabupaten,Sukabumi,"525 859,03","468 764,28","521 459,25","492 926,27","508 220,48","512 391,58","466 835,93"
Kabupaten,Cianjur,"696 725,99","641 804,29","622 992,32","611 773,02","617 941,03","650 123,11","630 847,78"
Kabupaten,Bandung,"314 869,16","344 214,39","277 156,28","310 715,20","289 205,70","300 142,89","334 188,58"
Kabupaten,Garut,"449 584,54","449 395,01","424 913,90","443 319,91","441 316,20","453 787,94","454 937,51"
Kabupaten,Tasikmalaya,"510 048,82","441 241,69","444 358,24","445 909,19","430 961,73","391 379,69","353 415,07"
Kabupaten,Ciamis,"316 212,98","276 734,07","282 791,46","320 330,73","305 676,17","299 124,49","236 248,23"
Kabupaten,Kuningan,"314 443,94","219 953,32","277 317,90","275 893,22","264 359,76","261 023,34","223 427,76"
Kabupaten,Cirebon,"552 564,77","502 574,97","497 080,10","464 730,69","494 699,98","495 878,20","510 632,02"
Kabupaten,Majalengka,"554 231,74","572 005,83","566 334,48","534 250,18","566 087,34","558 430,27","484 085,66"
Kabupaten,Sumedang,"339 508,46","302 668,85","320 178,00","262 037,84","298 163,00","287 112,51","271 869,00"
Kabupaten,Indramayu,"1 414 730,62","1 376 429,68","1 363 311,87","1 319 623,64","1 482 255,86","1 424 303,10","1 399 352,12"
Kabupaten,Subang,"990 994,87","942 932,04","970 759,74","959 456,43","1 038 780,58","1 027 659,54","968 941,45"
Kabupaten,Purwakarta,"177 276,30","143 820,03","159 957,49","167 865,29","188 731,69","186 533,23","180 397,10"
Kabupaten,Karawang,"1 133 671,33","1 117 813,97","1 087 873,90","1 234 133,75","1 226 880,08","1 131 976,57","1 041 530,95"
Kabupaten,Bekasi,"544 986,21","549 639,74","504 103,31","587 586,07","555 747,09","497 339,49","416 476,98"
Kabupaten,Bandung Barat,"170 934,99","158 988,38","164 640,49","146 494,62","153 644,09","143 212,52","148 802,98"
Kabupaten,Pangandaran,"194 398,08","174 597,02","154 982,57","140 000,72","148 670,61","139 300,10","118 188,45"
Kota,Bogor,"420,38","304,28","152,26","172,10","173,99","123,61","150,39"
Kota,Sukabumi,"14 436,50","15 103,37","14 532,67","15 123,41","13 254,34","16 187,08","13 693,10"
Kota,Bandung,"8 244,51","7 317,23","6 799,08","7 097,77","7 186,11","6 325,63","6 547,70"
Kota,Cirebon,"1 767,92","1 090,79","1 031,24","1 244,61","861,82","769,39","638,23"
Kota,Bekasi,"2 459,63","3 045,20","2 723,05","2 304,54","1 868,44","1 316,49","1 211,69"
Kota,Depok,"337,06","465,03","189,23","244,35","72,13","30,51","32,73"
Kota,Cimahi,"393,82","406,54","437,44","442,71","338,03","440,48","435,33"
Kota,Tasikmalaya,"46 943,05","37 041,64","36 349,80","49 118,08","54 233,66","39 968,81","35 403,54"
Kota,Banjar,"31 618,43","28 744,69","28 371,86","35 624,74","31 271,18","31 891,85","28 913,80"
